Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
mağaza merkez arası koordinasyonun sağlanması,mağaza merkez ara koordinasyon sağ,1,1
analitik düşünebilme yeteneğine sahip,analitik düşün yetenek sahip,5,0
benzer pozisyonda 5 yıl deneyim sahibi,benzer pozisyon 5 yıl dene sahip,5,0
diksiyonu düzgüniletişim becerileri gelişmiş,diksiyon düzgün iletişim beceri geliş,1,1
gerektiğinde şehir dışı seyahat edebilecek,gerek şehir dış seyahat et,0,0
istanbul trafiğini güzergahları iyi bilen,istanbul trafik güzergah iyi bil,1,1
güvenli sürüş teknikleri konusunda bilgili,güven sür teknik konu bilgi,1,0
tercihen SRC psikoteknik belgelerine sahip,tercihen SRC psikoteknik belge sahip,5,0
araçların hazırlıktemizlik bakımını yapabilecek,araç hazırlık temiz bakım yap,1,0
türkiye iş kurumu na kayıtlı 40 engel derecesi bulunan,türki iş kur ' na kayıt %40 engel derece bulun,1,1
uygun pozisyonlarda değerlendirilmek engelli adayların başvurularını bekliyoruz,uygun pozisyon değerlendir engel aday başvuru bekle,1,1
üniversitelerin elektrik-elektronik mühendisliği bölümünden mezun,üniversite elektrik-elektronik mühendis bölüm mezun,1,1
benzer pozisyonda 3 yıl deneyim sahibi,benzer pozisyon 3 yıl dene sahip,5,0
servo motor sürücülerini devreye alabilen,servo motor sürücü devre al,1,1
arıza tespit analiz mantığı gelişmiş,arıza tespit analiz mantık geliş,1,1
alanında yenilikleri takip etmeyi ilke edinmiş,alan yenilik takip et ilk edin,0,0
aydında ikamet edenedebilecek,aydın ikamet et et,0,0
benzer pozisyonda 2 yıl deneyimi olan,benzer pozisyon 2 yıl deney olan,4,0
MS office uygulamalarını iyi derecede kullanabilen,ms office uygula iyi derece kullan,3,0
tercihen opera bilgisi olan,tercihen opera bilgi olan,4,0
yazılı sözlü iletişimi kuvvetli insan ilişkilerinde başarılı ekip çalışmasına yatkın planlı disiplinli çalışma koşullarına uyum sağlayabilen,yazılı sözlü iletişim kuvvet insan ilişki başarı ekip çalış yatkın plan disiplin çalış koşul uyum sağla,2,0
ziyafet  satış sorumlusu pozisyonunda görev alacak ekip arkadaşı arıyoruz,' ziyafet satış sorumlu ' pozisyon görev al ekip arkadaş ara,1,1
kalibrasyon sürecinin takibini sağlayabilecek,kalibrasyon süreç takip sağla,1,1
aktif bilgisayar kullanabilen,aktif bilgisayar kullan,3,0
ekip ruhu hareket edebilecek,ekip ruh hareket et,0,0
esnek çalışma saatlerine uyum gösteren,esnek çalış saat uyum göster,2,0
görev showroom bulunan kafeteryadan sorumlu müşterilere içecek ikramı,görev showroom bulun kafeterya sorumlu müşteri iç ikra,1,1
toplantı eğitim ikram hazırlıklarının servis toplantılar temin edilen özel ekipmanların hazır kullanılır durumda olmasının sağlanması,toplantı eğitim ikra hazırlık servis toplantı te et özel ekipman hazır kullan durum ol sağ,0,0
müşteri memnuniyetini üst düzeyde tutacak tavır yaklaşım sergilenmesi,müşteri memnuniyet üst düzey tut tavır yaklaşım sergile,1,1
zamanının sahada geçirebilecek,zaman saha geçir,1,1
B sınıfı sürücü ehliyetine sahip,b sınıf sür ehliyet sahip,5,0
askerlik hizmetini tamamlamış erkek adaylar,asker hizmet tamamla erkek aday,1,1
sunum yeteneği yüksek,sunu yetenek yüksek,1,1
logo tiger programına hakim,logo tiger program hakim,1,1
otelin mali işlerinden sorumlu,otel mali iş sorumlu,1,1
yıldızlı otellerde 5 yıllık yöneticilik deneyimi olan,yıldız otel 5 yıllık yönet deney olan,4,0
bütçe raporlama konusunda tecrübeli,bütçe raporla konu tecrübe,1,0
yönetim iletişim planlama yeteneği güçlü,yönet iletişim planla yetenek güçlü,1,1
iletişimi kuvvetli takım çalışmasına yatkın,iletişim kuvvet tak çalış yatkın,2,0
üniversitelerin tekstil mühendisliği bölümünden mezun,üniversite tekstil mühendis bölüm mezun,1,1
kumaş konusunda minimum 5 yıl deneyim sahibi,kumaş konu minimum 5 yıl dene sahip,5,0
iletişim müzakere yeteneği yüksek,iletişim müzakere yetenek yüksek,1,1
problem çözme karar verme ikna kabiliyeti yüksek,problem çöz karar ver ikna kabiliyet yüksek,1,1
lise MYO aşçılık bölümlerinde okuyan mezun,lise myo aşçı bölüm oku mezun,1,1
hijyen kurallarına dikkat temizliğe özen gösteren,hijyen kural dikkat temiz özen göster,1,1
ekip çalışmasına önem veren,ekip çalış önem ver,2,0
yoğun iş temposuna vardiya sistemine esnek çalışma saatlerine uyum sağlayabilecek,yoğun iş tempo vardiya sistem esnek çalış saat uyum sağla,2,0
doküman üretme konusunda yetenekli,doküman üret konu yetenek,1,0
UIUX konularında fikir sahibi,UI UX konu fikir sahip,5,0
test senaryoları üretip dokümante edebilen,test senaryo üret dokümante et,0,0
rakip ürünleri inceleyip değerlendirebilecek,rakip ürün incele değerlendir,1,1
erkek adaylar askerlik görevini tamamlamış 2 yıl tecilli,erkek aday asker görev tamamla 2 yıl tecil,1,0
sağlık hizmetlerine ulaşmasına yardımcı gerektiğinde refakat eder ettirir,sağlık hizmet ulaş yardımcı gerek refakat et et,0,0
bakım veren aile üyelerini destekler,bakı ver aile üye destekle,1,1
sosyal aktivitelere yönlendirir katılımını destekler,sosyal aktivite yönlen katılım destekle,1,1
tercihen sağlık bakım sektöründe çalışmış,tercihen sağlık bakı sektör çalış,2,0
hijyen konusunda duyarlı titiz,hijyen konu duyarlı titiz,1,0
belirli metodolojiler kullanarak fiyat tahminleri oluşturmak,belirli metodoloji kullan fiyat tahmin oluş,3,0
fiyat güncellemelerinden sorumlu,fiyat güncelle sorumlu,1,1
satış brüt kâr marjını arttırmak,satış brüt kar marj arttır,1,1
fiyatlandırma uzmanı benzeri pozisyonlarda 2 sene iş tecrübesine sahip,fiyat uzma benzeri pozisyon 2 se iş tecrübe sahip,5,0
sayısal kavramları kolayca kavrayabilen yorumlayabilen,sayısal kavram kolay kavra yorumla,1,1
minimum denetim bağımsız çalışabilen,minimum denet bağımsız çalış,2,0
zaman yönetimi iş planına uyma temel yeteneklere sahip,zaman yönet iş plan uy temel yetenek sahip,5,0
iyi seviyede excel bilen,iyi seviye excel bil,1,1
fiyatlandırma süreçlerine hâkim,fiyat süreç hakim,1,1
üniversitelerin tercihen mühendislik bölümlerinden mezun,üniversite tercihen mühendis bölüm mezun,1,1
konusunda minimum 7 yıl yöneticilikte yöneticilikte 5 yıl deneyim sahibi,konu minimum 7 yıl yönet yönet 5 yıl dene sahip,5,0
liderlik yöneticilik becerilerine sahip,lider yönet beceri sahip,5,0
perakendenin dinamik çalışma düzenine uyum sağlayan,perakende dinamik çalış düzen uyum sağla,2,0
müşteri odaklı çalışabilecek ikna yeteneği gelişmiş,müşteri odak çalış ikna yetenek geliş,2,0
mağazacılık esnek çalışma saatlerine uyum sağlayabilecek,mağazacılık esnek çalış saat uyum sağla,2,0
kişisel gelişimine dış görünüşüne önem veren güleryüzlü,kişisel gelişim dış görünüş önem ver güleryüz,1,1
mağazacılık sektöründe kariyer hedefleyen,mağazacılık sektör kariyer hedefle,1,1
REST SOAP web servisleri konularında deneyimli,rest SOAP web servis konu deneyim,1,0
problem çözme kabiliyetine analitik düşünme yetisine sahip,problem çöz kabiliyet analitik düşün yeti sahip,5,0
yeni teknolojiler öğrenmeye sürekli gelişime açık,yeni teknoloji öğren sürekli gelişim açık,1,1
2 yıl tecrübeli,2 yıl tecrübe,1,0
perakende sektörüne ilgi duyan,perakende sektör ilgi duy,1,1
organizasyon yeteneği gelişmiş,organizasyon yetenek geliş,1,1
insan ilişkileri kuvvetli takım çalışmasına yatkın,insan ilişki kuvvet tak çalış yatkın,2,0
haftanın minimum 3 günü staj yapabilecek,hafta minimum 3 gün staj yap,1,0
düzenli iş takibi yapabilen,düzenli iş takip yap,1,0
planlama becerisi gelişmiş sistemli çalışan,planla beceri geliş sistem çalış,2,0
sonuç odaklı çalışma becerisine sahip,sonuç odak çalış beceri sahip,5,0
aktif araç kullanabilen seyahat engeli olmayan,aktif araç kullan seyahat engel olmayan,3,0
microsoft office programlarını etkin kullanabilen,microsoft office program etkin kullan,3,0
konusunda minimum 3 yıl deneyim sahibi,konu minimum 3 yıl dene sahip,5,0
logo muhasebe paket programını aktif kullanabilen,logo muhasebe paket program aktif kullan,3,0
muhasebe finans alanında süreç kayıt düzenine hakim,muhasebe finans alan süreç kayıt düzen hakim,1,1
analitik planlama organizasyon becerisine sahip,analitik planla organizasyon beceri sahip,5,0
gelişime açık iletişim becerileri güçlü,gelişim açık iletişim beceri güçlü,1,1
erkek adaylar askerlik hizmetini yapmış,erkek aday asker hizmet yap,1,0
firmaların bütçelerinin nakit akımlarının oluşturulmasında tecrübeli,firma bütçe nakit akım oluş tecrübe,1,0
detaylı araştırma,detay araştır,1,1
veri analizi raporlama yapabilen,veri analiz raporla yap,1,0
ekip çalışmasına yatkın analitik düşünme problem çözme yeteneğine sahip zamanı iyi yönetebilen sinerjik çalışmayı ilke edinen inisiyatif alabilen yeni fikirler ortaya koyabilen  sorgulama araştırma yeteneğine sahip,ekip çalış yatkın analitik düşün problem çöz yetenek sahip zaman iyi yönet sinerjik çalış ilk edin inisiyatif al yeni fikir orta koy sorgula araştır yetenek sahip,5,0
esnek çalışma şartlarına uyum sağlayabilecek olan,esnek çalış şart uyum sağla olan,4,0
mağaza yöneticiliği alanında 3 yıl deneyim sahibi,mağaza yönet alan 3 yıl dene sahip,5,0
iş planlama kısa,iş planla kısa,1,1
orta uzun vadeli fiyatlandırma stratejisi oluşturmak yüksek disiplin doğru iş planlaması yaparak fiyat rekabetini sağlamak,orta uzun vade fiyat strateji oluş yüksek disiplin doğru iş planla yap fiyat rekabet sağla,1,0
minimum 1 yıl deneyimli,minimum 1 yıl deneyim,1,0
opera bilen,opera bil,1,1
esnek çalışma saatlerine uygun,esnek çalış saat uygun,2,0
santrale gelen çağrıların cevaplanması,santral gelen çağrı cevapla,1,1
kişilere yönlendirilmesi,kişi yönlen,1,1
mesajları doğru zamanında kişilere iletmesi,mesaj doğru zamanında kişi ilet,1,1
anlık polis raporu gönderiminin sağlanması,anlık polis rapor gönderim sağ,1,1
finans alanında 4 yıl deneyimlitam yetkinliğe sahip,finans alan 4 yıl deneyim tam yetkin sahip,5,0
SAP konusunda bilgi sahibi olan,sap konu bilgi sahip olan,5,4
dikkatli detaylara önem veren,dikkatli detay önem ver,1,1
yasal mevzuat değişikliklerini takip etmek,yasal mevzuat değişik takip et,0,0
dış ticaret operasyonlarının raporlarını hazırlamak yönetim,dış ticaret operasyon rapor hazırla yönet,1,1
kartal özel vera hastanesinde çalışabilecek  anestezi reanimasyon uzmanı  aranmaktadir,kartal özel vera hastane çalış ' anestezi reanimasyon uzma ' aranmaktadir,2,0
branşıyla bilimsel gelişmeleri takip,branş bilimsel geliş takip,1,1
branşının gerektirdiği vizyona sahip,branş gerek vizyon sahip,5,0
iletişim yönü güçlü,iletişim yön güçlü,1,1
kazancı belgesi olan,kazanç belge olan,4,0
kaynakçı sertifikası olan,kaynak sertifika olan,4,0
vardiyalı sistemde çalışabilecek,vardiya sistem çalış,2,0
istanbul anadolu yakası gebzekocaeli ikamet,istanbul anadol yak gebze kocaeli ' ikamet,1,1
iletişim becerileri yüksek güler yüzlü,iletişim beceri yüksek gül yüz,1,1
tempolu yoğun ilişki yönetimi gerektiren ortama uyum sağlayabilecek,tempo yoğun ilişki yönet gerek orta uyum sağla,1,1
üniversitelerin mühendislik bölümlerinden mezun,üniversite mühendis bölüm mezun,1,1
yoğun çalışma temposuna esnek çalışma saatlerine uyum sağlayabilecek,yoğun çalış tempo esnek çalış saat uyum sağla,2,0
analitik düşünce yapısına sahip,analitik düş yapı sahip,5,0
vardiyalı düzende çalışabilecek,vardiya düze çalış,2,0
yıldızlı uluslararası zincir otellerde 7 yıl yöneticilik deneyimi olan,yıldız uluslararası zincir otel 7 yıl yönet deney olan,4,0
muhasebe departmanının süreçlerine hakim,muhasebe departman süreç hakim,1,1
finans mali işler süreçleri yönetebilecek,finans mali işle süreç yönet,1,1
tercihen opera programını bilen,tercihen opera program bil,1,1
meslek lisesi meslek yüksek okulu,meslek lise meslek yüksek okul,1,1
tercihen elektrik mekanik bölümlerinden mezun,tercihen elektrik mekanik bölüm mezun,1,1
tercihen BMS sistemine hakim,tercihen BMS sistem hakim,1,1
iletişim becerileri güçlü,iletişim beceri güçlü,1,1
çözüm odaklı takım çalışmasına yatkın,çöz odak tak çalış yatkın,2,0
gerektiğinde esnek çalışma saatlerine uyum sağlayabilecek,gerek esnek çalış saat uyum sağla,2,0
vardiyalı çalışabilecek,vardiya çalış,2,0
dış görünümüne özen gösteren,dış görünüm özen göster,1,1
yöntem teknik teknolojilere hakim,yöntem teknik teknoloji hakim,1,1
iletişim yeteneği yüksek,iletişim yetenek yüksek,1,1
hasta memnuniyetine önem veren,hasta memnuniyet önem ver,1,1
zamanlı çalışabilecek,zaman çalış,2,0
muhasebe alanında 3 yıl inşaat sektörü deneyimi olan,muhasebe alan 3 yıl inşaat sektör deney olan,4,0
ofis uygulamaları muhasebe programlarını aktif kullanabilen,ofis uygula muhasebe program aktif kullan,3,0
analiz raporlama becerisine sahip,analiz raporla beceri sahip,5,0
düzenli yoğun iş temposuna alışkın,düzenli yoğun iş tempo alışkın,1,1
hukuk fakültesi mezunuysan,hukuk fakülte mezun,1,1
sigortacılık sektöründe minimum 5 yıl deneyime sahipsen,sigortacı sektör minimum 5 yıl deney sahip,5,0
gün sonunda bölüme kasa teslimi,gün sonunda bölü kas teslim,1,1
tercihen lisans MYO mezunu,tercihen lisans myo mezun,1,1
sağlık sektöründe anlaşmalı kurumlar muhasebe pozisyonunda çalışmış,sağlık sektör ' anlaş kurum muhasebe pozisyon çalış,2,0
yeniliğe öğrenmeye açık,yenilik öğren açık,1,1
alanda 1-2 yıl deneyimli,ala 1-2 yıl deneyim,1,0
sabırlı güler yüzlü dinamikanlaşmalı kurumlarön muhasebe sorumlusu istihdam edilecektir,sabır gül yüz dinamik anlaş kurum ön muhasebe sorumlu istihdam et,0,0
dokuma kumaş tecrübesi olan,dokuma kumaş tecrübe olan,4,0
deponun sevk idaresini yapabilecek kapasiteye sahip,depo sevk idare yap kapasite sahip,5,0
mal sevkiyatı süreçlerini yürütebilecek,mal sevkiyat süreç yürüt,1,1
bilgisayar office programlarını iyi kullanabilen,bilgisayar office program iyi kullan,3,0
hareketli tempoluesnek çalışma düzenine uyum sağlayabilek,hareket tempo esnek çalış düzen uyum sağla,2,0
askerlik görevini tamamlamış,asker görev tamamla,1,1
lise dengi okul mezunu,lise denk okul mezun,1,1
perakende sektöründe mağazacılık tecrübesi olan,perakende sektör mağazacılık tecrübe olan,4,0
sorumluluk almayı seven stres altında çalışabilen,sorumluluk al sev stres alt çalış,2,0
askerlikle ilişiği olmayan erkek adaylar,asker ilişik olmayan erkek aday,1,1
üniversitelerin elektrik elektrik-elektronik mühendisliğinden mezun,üniversite elektrik elektrik-elektronik mühendis mezun,1,1
15 yıl deneyimli,15 yıl deneyim,1,0
ehliyetli aktif araç kullanabilen,ehliyet aktif araç kullan,3,0
ms offıce programlarını aktif kullanabilen,ms offıce program aktif kullan,3,0
yönetici idareci vasfı çalışmak gerekli niteliklere sahip,yönet idare vasıf çalış gerekli nitelik sahip,5,0
mıcrosoft office programlarını kullanabilen,mıcrosoft office program kullan,3,0
otomotiv sektöründe kalite konusunda deneyimli,otomotiv sektör kalite konu deneyim,1,0
problem çözme tekniklerini kullanabilen,problem çöz teknik kullan,3,0
yurtiçiyurtdışı seyahat engeli olmayan,yurtiçi yurtdışı seyahat engel olmayan,1,1
düzcede ikamet edenedebilecek,düzce ikamet et et,0,0
değişime yeniliklere açık,değişim yenilik açık,1,1
müşteri hizmet hedef sonuç odaklı çalışmaya yatkın çözüm üretebilen,müşteri hizmet hedef sonuç odak çalış yatkın çöz üret,2,0
mağaza ekibinin çalışmalarını yönlendirebilecek,mağaza ekip çalış yönlen,2,0
insan ilişkilerinde güçlü dinamik girişimci güler yüzlü,insan ilişki güçlü dinamik girişim gül yüz,1,1
üretim tesislerinde 3 yıl bakım tecrübesine sahip,üretim tesis 3 yıl bakı tecrübe sahip,5,0
ar-ge faaliyetlerini yürütebilecek,ar-ge faaliyet yürüt,1,1
iyi seviyede ingilizce konuşan yazan,iyi seviye ingilizce konuş yaz,1,1
model baskı çalışabilecek,model bask çalış,2,0
istanbul levent lokasyonuna kolay ulaşım sağlayabilecek,istanbul levent lokasyon kolay ulaş sağla,1,1
üniversitelerin 4 yıllık eğitim veren bölümlerinden mezun,üniversite 4 yıllık eğitim ver bölüm mezun,1,1
teknolojiye meraklı gelişmeleri takip,teknoloji merak geliş takip,1,1
iyi derecede ingilizce bilgisi olan,iyi derece ingilizce bilgi olan,4,0
dijital kanallarda hizmet verecek yeni iş modelinde uygulama web sitesinin kullanıcı arayüzü tasarımına liderlik etmek,dijital kanal hizmet ver yeni iş model uygula web site kullan arayüz tasarım lider et,0,0
müşteri deneyimi yöneticileriyle temiz basit arayüz tasarlayarak müşteri deneyimini iyileştirmek,müşteri deney yönet temiz basit arayüz tasarla müşteri deneyim iyi,1,1
müşteri eforunu minimize etmek,müşteri efor mini et,0,0
alternatif tasarımları müşteri testine sokarak sürekli iyileşme sağlamak,alternatif tasarım müşteri test sok sürekli iyi sağla,1,1
